lookup_id,membership_id
101325,44378
101326,44376
101327,44377
101328,44379
101329,44381
101330,44380
101332,44382
101333,44383
101333,48744
101336,44384
101337,44392
101338,44387
101339,44394
101340,44391
101341,44388
101342,44393
101343,44389
101344,44385
101345,44386
101346,44390
101348,44395
101349,44396
101353,44397
101354,44398
101356,44400
101361,44417
101363,44418
101366,44416
101367,44420
101369,44429
101370,44404
101371,44405
101372,44421
101374,44423
101375,44413
101376,44415
101377,44407
101378,44408
101379,44428
101380,44422
101381,44427
101382,44419
101383,44424
101384,44426
101385,44425
101386,44410
101387,44411
101388,44412
101390,44430
101391,44458
101393,44431
101394,44447
101395,44432
101396,44440
101398,44445
